NULL,0x0000,False
CR,0x000D,False
space,0x0020,False
nbspace,0x00A0,False
enspace,0x2002,False
emspace,0x2003,False
thinspace,0x2009,False
thinnbspace,0x202F,False
A,0x0041,True
B,0x0042,True
C,0x0043,True
D,0x0044,True
E,0x0045,True
F,0x0046,True
G,0x0047,True
H,0x0048,True
I,0x0049,True
J,0x004A,True
K,0x004B,True
L,0x004C,True
M,0x004D,True
N,0x004E,True
O,0x004F,True
P,0x0050,True
Q,0x0051,True
R,0x0052,True
S,0x0053,True
T,0x0054,True
U,0x0055,True
V,0x0056,True
W,0x0057,True
X,0x0058,True
Y,0x0059,True
Z,0x005A,True
a,0x0061,True
b,0x0062,True
c,0x0063,True
d,0x0064,True
e,0x0065,True
f,0x0066,True
g,0x0067,True
h,0x0068,True
i,0x0069,True
j,0x006A,True
k,0x006B,True
l,0x006C,True
m,0x006D,True
n,0x006E,True
o,0x006F,True
p,0x0070,True
q,0x0071,True
r,0x0072,True
s,0x0073,True
t,0x0074,True
u,0x0075,True
v,0x0076,True
w,0x0077,True
x,0x0078,True
y,0x0079,True
z,0x007A,True
quotesingle,0x0027,True
quotedbl,0x0022,True
numbersign,0x0023,True
ampersand,0x0026,True
asterisk,0x002A,True
comma,0x002C,True
hyphen,0x002D,True
hyphentwo,0x2010,False
softhyphen,0x00AD,False
nonbreakinghyphen,0x2011,False
period,0x002E,True
colon,0x003A,True
semicolon,0x003B,True
question,0x003F,True
reversedcomma,0x2E41,True
reversedsemicolon,0x204F,True
exclam,0x0021,True
questiondown,0x00BF,True
questiondown.case,,False
exclamdown,0x00A1,True
exclamdown.case,,False
at,0x0040,True
at.case,,False
parenleft,0x0028,True
parenright,0x0029,True
bracketleft,0x005B,True
bracketright,0x005D,True
braceleft,0x007B,True
braceright,0x007D,True
angledbracketleft,0x3008,True
angledbracketright,0x3009,True
leftFacingEternity,0x058E,True
rightFacingEternity,0x058D,True
backslash,0x005C,True
slash,0x002F,True
brokenbar,0x00A6,True
bar,0x007C,True
asciicircum,0x005E,True
underscore,0x005F,True
asciitilde,0x007E,True
section,0x00A7,True
copyright,0x00A9,True
registered,0x00AE,True
trademark,0x2122,True
ordfeminine,0x00AA,True
ordmasculine,0x00BA,True
guilsinglleft,0x2039,True
guilsinglright,0x203A,True
guillemetleft,0x00AB,True
guillemetright,0x00BB,True
quoteleft,0x2018,True
quoteright,0x2019,True
quotesinglbase,0x201A,False
quotedblleft,0x201C,True
quotedblright,0x201D,True
quotedblbase,0x201E,True
dagger,0x2020,True
daggerdbl,0x2021,True
ellipsis,0x2026,True
paragraph,0x00B6,True
periodcentered,0x00B7,True
endash,0x2013,True
emdash,0x2014,True
hyphen.case,,False
colon.case,,False
endash.case,,False
emdash.case,,False
guilsinglleft.case,,False
guilsinglright.case,,False
guillemetleft.case,,False
guillemetright.case,,False
circumflex,0x02C6,False
caron,0x02C7,False
macron,0x00AF,False
firsttonechinese,0x02C9,False
secondtonechinese,0x02CA,False
fourthtonechinese,0x02CB,False
breve,0x02D8,False
dieresis,0x00A8,False
acute,0x00B4,False
grave,0x0060,False
cedilla,0x00B8,False
dotaccent,0x02D9,False
ring,0x02DA,False
ogonek,0x02DB,False
tilde,0x02DC,False
hungarumlaut,0x02DD,False
dblgrave,,False
circumflexcomb,0x0302,False
circumflexcomb.case,,False
caroncomb,0x030C,False
caroncomb.case,,False
caroncomb.calt,,False
macroncomb,0x0304,False
macronbelowcomb,0x0331,False
brevecomb,0x0306,False
brevecomb.case,,False
brevebelowcomb,0x032E,False
brevebelowcomb.case,,False
dieresiscomb,0x0308,False
dieresisbelow,0x0324,False
acutecomb,0x0301,False
acutecomb.case,,False
gravecomb,0x0300,False
gravecomb.case,,False
cedillacomb,0x0327,False
dotaccentcomb,0x0307,False
ringcomb,0x030A,False
ogonekcomb,0x0328,False
tildecomb,0x0303,False
hungarumlautcomb,0x030B,False
dblgravecomb,0x030F,False
commaaccentcomb,0x0326,False
commaturnedabovecomb,0x0312,False
commaabovecomb,0x0313,False
apostrophemodifier,0x02BC,True
dotbelowcomb,0x0323,False
hookabovecomb,0x0309,False
horncomb,0x031B,False
barcomb,0x0335,False
brevecomb_acutecomb,,False
brevecomb_acutecomb.case,,False
brevecomb_gravecomb,,False
brevecomb_gravecomb.case,,False
brevecomb_hookabovecomb,,False
brevecomb_hookabovecomb.case,,False
brevecomb_tildecomb,,False
brevecomb_tildecomb.case,,False
breveinvertedcomb,0x0311,False
breveinvertedcomb.case,,False
circumflexcomb_acutecomb,,False
circumflexcomb_tildecomb.case,,False
circumflexcomb_gravecomb,,False
circumflexcomb_gravecomb.case,,False
circumflexcomb_hookabovecomb,,False
circumflexcomb_hookabovecomb.case,,False
circumflexcomb_tildecomb,,False
circumflexcomb_acutecomb.case,,False
tildecomb.narrow,,False
primemod,0x02B9,False
dblprimemod,0x02BA,False
Agrave,0x00C0,True
Aacute,0x00C1,True
Acircumflex,0x00C2,True
Atilde,0x00C3,True
Amacron,0x0100,True
Abreve,0x0102,True
Adieresis,0x00C4,True
Aring,0x00C5,True
Aogonek,0x0104,True
Aringacute,0x01FA,True
Abreveacute,0x1EAE,True
Abrevedotbelow,0x1EB6,True
Abrevegrave,0x1EB0,True
Abrevehookabove,0x1EB2,True
Abrevetilde,0x1EB4,True
Acircumflexacute,0x1EA4,True
Acircumflexdotbelow,0x1EAC,True
Acircumflexgrave,0x1EA6,True
Acircumflexhookabove,0x1EA8,True
Acircumflextilde,0x1EAA,True
Ahookabove,0x1EA2,True
Adotbelow,0x1EA0,True
AE,0x00C6,True
AEacute,0x01FC,True
Cacute,0x0106,True
Ccircumflex,0x0108,True
Cdotaccent,0x010A,True
Ccaron,0x010C,True
Ccedilla,0x00C7,True
Dcaron,0x010E,True
Dcroat,0x0110,False
Eth,0x00D0,True
Egrave,0x00C8,True
Eacute,0x00C9,True
Ecircumflex,0x00CA,True
Emacron,0x0112,True
Ebreve,0x0114,True
Edotaccent,0x0116,True
Edieresis,0x00CB,True
Ecaron,0x011A,True
Eogonek,0x0118,True
Ecircumflexacute,0x1EBE,True
Ecircumflexdotbelow,0x1EC6,True
Ecircumflexgrave,0x1EC0,True
Ecircumflexhookabove,0x1EC2,True
Ecircumflextilde,0x1EC4,True
Ehookabove,0x1EBA,True
Etilde,0x1EBC,True
Edotbelow,0x1EB8,True
Gcircumflex,0x011C,True
Gbreve,0x011E,True
Gdotaccent,0x0120,True
Gcommaaccent,0x0122,True
Hcircumflex,0x0124,True
Hbar,0x0126,True
Igrave,0x00CC,True
Iacute,0x00CD,True
Icircumflex,0x00CE,True
Itilde,0x0128,True
Imacron,0x012A,True
Ibreve,0x012C,True
Idotaccent,0x0130,True
Idieresis,0x00CF,True
Iogonek,0x012E,True
Ihookabove,0x1EC8,True
Idotbelow,0x1ECA,True
IJ,0x0132,True
Iacute_J.NLD,,True
Jacute,0xFC001,True
Jcircumflex,0x0134,True
Kcommaaccent,0x0136,True
Lacute,0x0139,True
Lcommaaccent,0x013B,True
Lcaron,0x013D,True
Ldot,0x013F,True
Lslash,0x0141,True
Nacute,0x0143,True
Ntilde,0x00D1,True
Ncaron,0x0147,True
Eng,0x014A,True
Ncommaaccent,0x0145,True
Ograve,0x00D2,True
Oacute,0x00D3,True
Ocircumflex,0x00D4,True
Otilde,0x00D5,True
Omacron,0x014C,True
Obreve,0x014E,True
Odieresis,0x00D6,True
Ohungarumlaut,0x0150,True
Oslash,0x00D8,True
Oslashacute,0x01FE,True
Ocircumflexacute,0x1ED0,True
Ocircumflexdotbelow,0x1ED8,True
Ocircumflexgrave,0x1ED2,True
Ocircumflexhookabove,0x1ED4,True
Ocircumflextilde,0x1ED6,True
Ohookabove,0x1ECE,True
Ohorn,0x01A0,True
Ohornacute,0x1EDA,True
Ohorndotbelow,0x1EE2,True
Ohorngrave,0x1EDC,True
Ohornhookabove,0x1EDE,True
Ohorntilde,0x1EE0,True
Odotbelow,0x1ECC,True
OE,0x0152,True
Racute,0x0154,True
Rcaron,0x0158,True
Rcommaaccent,0x0156,True
Sacute,0x015A,True
Scircumflex,0x015C,True
Scaron,0x0160,True
Scommaaccent,0x0218,True
Scedilla,0x015E,True
Germandbls,0x1E9E,True
Tcaron,0x0164,True
Tcommaaccent,0x021A,True
Tcedilla,0x0162,True
Tbar,0x0166,True
Ugrave,0x00D9,True
Uacute,0x00DA,True
Ucircumflex,0x00DB,True
Utilde,0x0168,True
Umacron,0x016A,True
Ubreve,0x016C,True
Udieresis,0x00DC,True
Uring,0x016E,True
Uhungarumlaut,0x0170,True
Uogonek,0x0172,True
Uhookabove,0x1EE6,True
Uhorn,0x01AF,True
Uhornacute,0x1EE8,True
Uhorndotbelow,0x1EF0,True
Uhorngrave,0x1EEA,True
Uhornhookabove,0x1EEC,True
Uhorntilde,0x1EEE,True
Udotbelow,0x1EE4,True
Wgrave,0x1E80,True
Wacute,0x1E82,True
Wcircumflex,0x0174,True
Wdieresis,0x1E84,True
Ygrave,0x1EF2,True
Yacute,0x00DD,True
Ycircumflex,0x0176,True
Ydieresis,0x0178,True
Yhookabove,0x1EF6,True
Ydotbelow,0x1EF4,True
Ytilde,0x1EF8,True
Zacute,0x0179,True
Zdotaccent,0x017B,True
Zcaron,0x017D,True
Thorn,0x00DE,True
Schwa,0x018F,True
Abreveinverted,0x0202,True
Adblgrave,0x0200,True
Ebreveinverted,0x0206,True
Edblgrave,0x0204,True
Gcaron,0x01E6,True
Ibreveinverted,0x020A,True
Idblgrave,0x0208,True
Obreveinverted,0x020E,True
Odblgrave,0x020C,True
Odieresismacron,0x022A,True
Odotaccentmacron,0x0230,True
Oogonek,0x01EA,True
Otildemacron,0x022C,True
Rbreveinverted,0x0212,True
Rdblgrave,0x0210,True
Ubreveinverted,0x0216,True
Udblgrave,0x0214,True
Ymacron,0x0232,True
agrave,0x00E0,True
aacute,0x00E1,True
acircumflex,0x00E2,True
atilde,0x00E3,True
amacron,0x0101,True
abreve,0x0103,True
adieresis,0x00E4,True
aring,0x00E5,True
aogonek,0x0105,True
aringacute,0x01FB,True
abreveacute,0x1EAF,True
abrevedotbelow,0x1EB7,True
abrevegrave,0x1EB1,True
abrevehookabove,0x1EB3,True
abrevetilde,0x1EB5,True
acircumflexacute,0x1EA5,True
acircumflexdotbelow,0x1EAD,True
acircumflexgrave,0x1EA7,True
acircumflexhookabove,0x1EA9,True
acircumflextilde,0x1EAB,True
ahookabove,0x1EA3,True
adotbelow,0x1EA1,True
ae,0x00E6,True
aeacute,0x01FD,True
cacute,0x0107,True
ccircumflex,0x0109,True
cdotaccent,0x010B,True
ccaron,0x010D,True
ccedilla,0x00E7,True
dcaron,0x010F,True
dcroat,0x0111,True
eth,0x00F0,True
egrave,0x00E8,True
eacute,0x00E9,True
ecircumflex,0x00EA,True
emacron,0x0113,True
ebreve,0x0115,True
edotaccent,0x0117,True
edieresis,0x00EB,True
ecaron,0x011B,True
eogonek,0x0119,True
ecircumflexacute,0x1EBF,True
ecircumflexdotbelow,0x1EC7,True
ecircumflexgrave,0x1EC1,True
ecircumflexhookabove,0x1EC3,True
ecircumflextilde,0x1EC5,True
ehookabove,0x1EBB,True
etilde,0x1EBD,True
edotbelow,0x1EB9,True
gcircumflex,0x011D,True
gbreve,0x011F,True
gdotaccent,0x0121,True
gcommaaccent,0x0123,True
hcircumflex,0x0125,True
hbar,0x0127,True
igrave,0x00EC,True
iacute,0x00ED,True
icircumflex,0x00EE,True
itilde,0x0129,True
imacron,0x012B,True
ibreve,0x012D,True
idotless,0x0131,True
idieresis,0x00EF,True
iogonek,0x012F,True
ihookabove,0x1EC9,True
idotbelow,0x1ECB,True
ij,0x0133,True
iacute_j.NLD,,True
jacute,0xFC000,True
jcircumflex,0x0135,True
jdotless,0x0237,True
kcommaaccent,0x0137,True
kgreenlandic,0x0138,True
lacute,0x013A,True
lcommaaccent,0x013C,True
lcaron,0x013E,True
ldot,0x0140,True
lslash,0x0142,True
nacute,0x0144,True
ntilde,0x00F1,True
ncaron,0x0148,True
eng,0x014B,True
ncommaaccent,0x0146,True
napostrophe,0x0149,True
ograve,0x00F2,True
oacute,0x00F3,True
ocircumflex,0x00F4,True
otilde,0x00F5,True
omacron,0x014D,True
obreve,0x014F,True
odieresis,0x00F6,True
ohungarumlaut,0x0151,True
oslash,0x00F8,True
oslashacute,0x01FF,True
ocircumflexacute,0x1ED1,True
ocircumflexdotbelow,0x1ED9,True
ocircumflexgrave,0x1ED3,True
ocircumflexhookabove,0x1ED5,True
ocircumflextilde,0x1ED7,True
ohookabove,0x1ECF,True
ohorn,0x01A1,True
ohornacute,0x1EDB,True
ohorndotbelow,0x1EE3,True
ohorngrave,0x1EDD,True
ohornhookabove,0x1EDF,True
ohorntilde,0x1EE1,True
odotbelow,0x1ECD,True
oe,0x0153,True
racute,0x0155,True
rcaron,0x0159,True
rcommaaccent,0x0157,True
sacute,0x015B,True
scircumflex,0x015D,True
scaron,0x0161,True
scommaaccent,0x0219,True
scedilla,0x015F,True
germandbls,0x00DF,True
tcaron,0x0165,True
tcommaaccent,0x021B,True
tcedilla,0x0163,True
tbar,0x0167,True
ugrave,0x00F9,True
uacute,0x00FA,True
ucircumflex,0x00FB,True
utilde,0x0169,True
umacron,0x016B,True
ubreve,0x016D,True
udieresis,0x00FC,True
uring,0x016F,True
uhungarumlaut,0x0171,True
uogonek,0x0173,True
uhookabove,0x1EE7,True
uhorn,0x01B0,True
uhornacute,0x1EE9,True
uhorndotbelow,0x1EF1,True
uhorngrave,0x1EEB,True
uhornhookabove,0x1EED,True
uhorntilde,0x1EEF,True
udotbelow,0x1EE5,True
wgrave,0x1E81,True
wacute,0x1E83,True
wcircumflex,0x0175,True
wdieresis,0x1E85,True
ygrave,0x1EF3,True
yacute,0x00FD,True
ycircumflex,0x0177,True
ydieresis,0x00FF,True
yhookabove,0x1EF7,True
ytilde,0x1EF9,True
ydotbelow,0x1EF5,True
zacute,0x017A,True
zdotaccent,0x017C,True
zcaron,0x017E,True
thorn,0x00FE,True
schwa,0x0259,True
abreveinverted,0x0203,True
adblgrave,0x0201,True
ebreveinverted,0x0207,True
edblgrave,0x0205,True
gcaron,0x01E7,True
ibreveinverted,0x020B,True
idblgrave,0x0209,True
obreveinverted,0x020F,True
odblgrave,0x020D,True
odieresismacron,0x022B,True
odotaccentmacron,0x0231,True
oogonek,0x01EB,True
otildemacron,0x022D,True
rbreveinverted,0x0213,True
rdblgrave,0x0211,True
ubreveinverted,0x0217,True
udblgrave,0x0215,True
ymacron,0x0233,True
idieresis_idieresis,,True
zero,0x0030,True
one,0x0031,True
two,0x0032,True
three,0x0033,True
four,0x0034,True
five,0x0035,True
six,0x0036,True
seven,0x0037,True
eight,0x0038,True
nine,0x0039,True
dollar,0x0024,True
euro,0x20AC,True
cent,0x00A2,True
sterling,0x00A3,True
yen,0x00A5,True
dong,0x20AB,True
liraTurkish,0x20BA,True
ruble,0x20BD,True
rupeeIndian,0x20B9,True
cedi,0x20B5,True
colonsign,0x20A1,True
dram,0x058F,True
florin,0x0192,True
franc,0x20A3,True
guarani,0x20B2,True
lira,0x20A4,True
manat,0x20BC,True
naira,0x20A6,True
peseta,0x20A7,True
peso,0x20B1,True
sheqel,0x20AA,True
tenge,0x20B8,True
kip,0x20AD,True
won,0x20A9,True
currency,0x00A4,True
commercialMinusSign,0x2052,True
degree,0x00B0,True
minute,0x2032,True
second,0x2033,True
percent,0x0025,True
perthousand,0x2030,True
fraction,0x2044,True
divisionslash,0x2215,False
plus,0x002B,True
minus,0x2212,True
plusminus,0x00B1,True
divide,0x00F7,True
multiply,0x00D7,True
equal,0x003D,True
approxequal,0x2248,True
notequal,0x2260,True
less,0x003C,True
greater,0x003E,True
lessequal,0x2264,True
greaterequal,0x2265,True
logicalnot,0x00AC,True
bulletoperator,0x2219,True
dotoperator,0x22C5,False
bulletoperator.case,,False
ohm,0x2126,False
product,0x220F,True
summation,0x2211,True
increment,0x2206,False
micro,0x00B5,False
radical,0x221A,True
infinity,0x221E,True
integral,0x222B,True
partialdiff,0x2202,True
lozenge,0x25CA,True
estimated,0x212E,True
literSign,0x2113,True
bullet,0x2022,True
zerosuperior,0x2070,True
onesuperior,0x00B9,True
twosuperior,0x00B2,True
threesuperior,0x00B3,True
foursuperior,0x2074,True
fivesuperior,0x2075,True
sixsuperior,0x2076,True
sevensuperior,0x2077,True
eightsuperior,0x2078,True
ninesuperior,0x2079,True
zeroinferior,0x2080,False
oneinferior,0x2081,False
twoinferior,0x2082,False
threeinferior,0x2083,False
fourinferior,0x2084,False
fiveinferior,0x2085,False
sixinferior,0x2086,False
seveninferior,0x2087,False
eightinferior,0x2088,False
nineinferior,0x2089,False
onehalf,0x00BD,True
onethird,0x2153,True
twothirds,0x2154,True
onequarter,0x00BC,True
threequarters,0x00BE,True
onefifth,0x2155,True
twofifths,0x2156,True
threefifths,0x2157,True
fourfifths,0x2158,True
onesixth,0x2159,True
fivesixths,0x215A,True
oneseventh,0x2150,True
twosevenths,0xF0100,True
threesevenths,0xF0101,True
foursevenths,0xF0102,True
fivesevenths,0xF0103,True
sixsevenths,0xF0104,True
oneeighth,0x215B,True
threeeighths,0x215C,True
fiveeighths,0x215D,True
seveneighths,0x215E,True
oneninth,0x2151,True
twoninths,0xF0105,True
fourninths,0xF0106,True
fiveninths,0xF0107,True
sevenninths,0xF0108,True
eightninths,0xF0109,True
arrowleft,0x2190,True
arrowup,0x2191,True
arrowright,0x2192,True
arrowdown,0x2193,True
arrowbar,,True
idotlessogonek,,True
periodcentered.CAT,,True
periodcentered.CAT.case,,True
DZ,0x01F1,True
Dz,0x01F2,True
dz,0x01F3,True
DZcaron,0x01C4,True
Dzcaron,0x01C5,True
dzcaron,0x01C6,True
LJ,0x01C7,True
Lj,0x01C8,True
lj,0x01C9,True
NJ,0x01CA,True
Nj,0x01CB,True
nj,0x01CC,True
c.A,0x0410,False
c.Be,0x0411,True
c.Ve,0x0412,False
c.Ghe,0x0413,False
c.De,0x0414,True
c.Ie,0x0415,False
c.Zhe,0x0416,True
c.Ze,0x0417,True
c.I,0x0418,True
c.Ishort,0x0419,True
c.Ka,0x041A,False
c.El,0x041B,True
c.Em,0x041C,False
c.En,0x041D,False
c.O,0x041E,False
c.Pe,0x041F,False
c.Er,0x0420,False
c.Es,0x0421,False
c.Te,0x0422,False
c.U,0x0423,True
c.Ef,0x0424,False
c.Ha,0x0425,False
c.Tse,0x0426,True
c.Che,0x0427,True
c.Sha,0x0428,True
c.Shcha,0x0429,True
c.Hard,0x042A,True
c.Yeru,0x042B,True
c.Soft,0x042C,True
c.E,0x042D,True
c.Yu,0x042E,True
c.Ya,0x042F,True
c.Gje,0x0403,True
c.GheUkr,0x0490,True
c.Dje,0x0402,True
c.IeUkr,0x0404,True
c.Dze,0x0405,False
c.Iegrave,0x0400,True
c.Io,0x0401,True
c.IUkr,0x0406,False
c.Yi,0x0407,True
c.Je,0x0408,False
c.Igrave,0x040D,True
c.Kje,0x040C,True
c.Lje,0x0409,True
c.Nje,0x040A,True
c.Tshe,0x040B,True
c.Ushort,0x040E,True
c.Dzhe,0x040F,True
c.Yat,0x0462,True
c.Fita,0x0472,True
c.Izhitsa,0x0474,True
c.Ghebar,0x0492,True
c.Zhespike,0x0496,True
c.Kaspike,0x049A,True
c.Enspike,0x04A2,True
c.Haspike,0x04B2,True
c.Chespike,0x04B6,True
c.Ustraight,0x04AE,False
c.Ustraightbar,0x04B0,True
c.Shha,0x04BA,True
c.Palochka,0x04C0,False
c.Schwa,0x04D8,False
c.Imacron,0x04E2,True
c.Obar,0x04E8,True
c.Umacron,0x04EE,True
c.Zehook,0x0498,True
c.KaBashkir,0x04A0,True
c.Eshook,0x04AA,True
c.Abreve,0x04D0,True
c.Iebreve,0x04D6,True
c.Udblacute,0x04F2,True
c.Odieresis,0x04E6,True
c.AIe,0x04D4,False
c.Adieresis,0x04D2,True
c.Chedieresis,0x04F4,True
c.Chekhakassian,0x04CB,True
c.Chestroke,0x04B8,True
c.Enghe,0x04A4,True
c.Gedescender,0x04F6,True
c.Ghemiddlehook,0x0494,True
c.Idieresis,0x04E4,True
c.Kastroke,0x049C,True
c.Qa,0x051A,True
c.Udieresis,0x04F0,True
c.We,0x051C,False
c.Yerudieresis,0x04F8,True
c.Yusbig,0x046A,True
c.Zedieresis,0x04DE,True
c.Zhebreve,0x04C1,True
c.Zhedieresis,0x04DC,True
c.De.BGR,,True
c.El.BGR,,False
c.a,0x0430,False
c.be,0x0431,True
c.ve,0x0432,True
c.ghe,0x0433,True
c.de,0x0434,True
c.ie,0x0435,False
c.zhe,0x0436,True
c.ze,0x0437,True
c.i,0x0438,True
c.ishort,0x0439,True
c.ka,0x043A,True
c.el,0x043B,True
c.em,0x043C,True
c.en,0x043D,True
c.o,0x043E,False
c.pe,0x043F,True
c.er,0x0440,False
c.es,0x0441,False
c.te,0x0442,True
c.u,0x0443,False
c.ef,0x0444,True
c.ha,0x0445,False
c.tse,0x0446,True
c.che,0x0447,True
c.sha,0x0448,True
c.shcha,0x0449,True
c.hard,0x044A,True
c.yeru,0x044B,True
c.soft,0x044C,True
c.e,0x044D,True
c.yu,0x044E,True
c.ya,0x044F,True
c.gje,0x0453,True
c.gheUkr,0x0491,True
c.dje,0x0452,True
c.ieUkr,0x0454,True
c.dze,0x0455,False
c.iegrave,0x0450,True
c.io,0x0451,True
c.iUkr,0x0456,False
c.yi,0x0457,True
c.je,0x0458,False
c.igrave,0x045D,True
c.kje,0x045C,True
c.lje,0x0459,True
c.nje,0x045A,True
c.tshe,0x045B,False
c.ushort,0x045E,True
c.dzhe,0x045F,True
c.yat,0x0463,True
c.fita,0x0473,True
c.izhitsa,0x0475,True
c.ghebar,0x0493,True
c.zhespike,0x0497,True
c.kaspike,0x049B,True
c.enspike,0x04A3,True
c.haspike,0x04B3,True
c.chespike,0x04B7,True
c.ustraight,0x04AF,False
c.ustraightbar,0x04B1,True
c.shha,0x04BB,False
c.palochka,0x04CF,False
c.schwa,0x04D9,False
c.imacron,0x04E3,True
c.obar,0x04E9,True
c.umacron,0x04EF,True
c.zehook,0x0499,True
c.kaBashkir,0x04A1,True
c.eshook,0x04AB,True
c.abreve,0x04D1,True
c.iebreve,0x04D7,True
